Analysis name: SLA_Madison
Column conditions: None
Row conditions: Block, Procedure[Trial], Procedure[Block], SubTrial, Sex, Age, Procedure[SubTrial], Response.RESP, Response.RT, Running[SubTrial], GambleOutcome, GambleAmount, Amount1, Amount2, Certain, Rating, RatingsList
Statistics: Response.RT:Mean
Filters: None
Data file: SLA_v1a_withpractice_Other_8_11_16A_ORDER2-12-1
File does not have data alterations.
Block	Procedure[Trial]	Procedure[Block]	SubTrial	Sex	Age	Procedure[SubTrial]	Response.RESP	Response.RT	Running[SubTrial]	GambleOutcome	GambleAmount	Amount1	Amount2	Certain	Rating	RatingsList	Stats	
2	Self2	SelfTask	16	female	24	LASelfMixed	1	1803	List5	won	$5.00	$5.00	-$3.13	$0.00	NULL	NULL	Mean Response.RT	1803.00
2	Self2	SelfTask	17	female	24	LASelfGain	1	1825	List5	lost	$0.00	$30.00	$0.00	$12.00	NULL	NULL	Mean Response.RT	1825.00
2	Self2	SelfTask	18	female	24	LASelfMixed	2	1278	List5	won	$4.00	$4.00	-$7.00	$0.00	NULL	NULL	Mean Response.RT	1278.00
2	Self2	SelfTask	19	female	24	LASelfMixed	2	875	List5	won	$10.00	$10.00	-$13.75	$0.00	NULL	NULL	Mean Response.RT	875.00
2	Self2	SelfTask	20	female	24	LASelfMixed	2	1497	List5	lost	-$15.00	$8.00	-$15.00	$0.00	NULL	NULL	Mean Response.RT	1497.00
2	Self2	SelfTask	21	female	24	LASelfGain	1	671	List5	won	$24.00	$24.00	$0.00	$12.00	NULL	NULL	Mean Response.RT	671.00
2	Self2	SelfTask	22	female	24	LASelfMixed	2	733	List5	lost	-$15.00	$12.00	-$15.00	$0.00	NULL	NULL	Mean Response.RT	733.00
2	Self2	SelfTask	23	female	24	LASelfMixed	2	458	List5	lost	-$18.00	$9.00	-$18.00	$0.00	NULL	NULL	Mean Response.RT	458.00
2	Self2	SelfTask	24	female	24	LASelfGain	1	776	List5	won	$13.00	$13.00	$0.00	$5.00	NULL	NULL	Mean Response.RT	776.00
2	Self2	SelfTask	25	female	24	LASelfMixed	1	421	List5	won	$2.00	$2.00	-$0.75	$0.00	NULL	NULL	Mean Response.RT	421.00
2	Self2	SelfTask	26	female	24	LASelfMixed	1	1298	List5	lost	-$6.00	$12.00	-$6.00	$0.00	NULL	NULL	Mean Response.RT	1298.00
2	Self2	SelfTask	27	female	24	LASelfGain	1	1320	List5	lost	$0.00	$8.00	$0.00	$3.00	NULL	NULL	Mean Response.RT	1320.00
2	Self2	SelfTask	28	female	24	LASelfMixed	2	598	List5	won	$8.00	$8.00	-$6.00	$0.00	NULL	NULL	Mean Response.RT	598.00
2	Self2	SelfTask	29	female	24	LASelfMixed	2	755	List5	lost	-$5.00	$4.00	-$5.00	$0.00	NULL	NULL	Mean Response.RT	755.00
2	Self2	SelfTask	30	female	24	LASelfMixed	2	497	List5	lost	-$6.00	$6.00	-$6.00	$0.00	NULL	NULL	Mean Response.RT	497.00
2	Self3	SelfTask	1	female	24	LASelfMixed	2	665	List6	won	$9.00	$9.00	-$11.25	$0.00	NULL	NULL	Mean Response.RT	665.00
2	Self3	SelfTask	2	female	24	LASelfMixed	2	1206	List6	won	$12.00	$12.00	-$21.00	$0.00	NULL	NULL	Mean Response.RT	1206.00
2	Self3	SelfTask	3	female	24	LASelfMixed	2	476	List6	won	$5.00	$5.00	-$6.88	$0.00	NULL	NULL	Mean Response.RT	476.00
2	Self3	SelfTask	4	female	24	LASelfMixed	1	1338	List6	lost	-$3.00	$12.00	-$3.00	$0.00	NULL	NULL	Mean Response.RT	1338.00
2	Self3	SelfTask	5	female	24	LASelfGain	1	887	List6	won	$5.00	$5.00	$0.00	$2.00	NULL	NULL	Mean Response.RT	887.00
2	Self3	SelfTask	6	female	24	LASelfMixed	2	1517	List6	lost	-$6.75	$9.00	-$6.75	$0.00	NULL	NULL	Mean Response.RT	1517.00
2	Self3	SelfTask	7	female	24	LASelfGain	1	755	List6	lost	$0.00	$26.00	$0.00	$10.00	NULL	NULL	Mean Response.RT	755.00
2	Self3	SelfTask	8	female	24	LASelfMixed	2	1784	List6	won	$8.00	$8.00	-$3.00	$0.00	NULL	NULL	Mean Response.RT	1784.00
2	Self3	SelfTask	9	female	24	LASelfGain	1	910	List6	won	$19.00	$19.00	$0.00	$8.00	NULL	NULL	Mean Response.RT	910.00
2	Self3	SelfTask	10	female	24	LASelfGain	1	1220	List6	lost	$0.00	$25.00	$0.00	$10.00	NULL	NULL	Mean Response.RT	1220.00
2	Self3	SelfTask	11	female	24	LASelfMixed	1	609	List6	lost	-$1.88	$5.00	-$1.88	$0.00	NULL	NULL	Mean Response.RT	609.00
2	Self3	SelfTask	12	female	24	LASelfMixed	2	607	List6	lost	-$2.75	$2.00	-$2.75	$0.00	NULL	NULL	Mean Response.RT	607.00
2	Self3	SelfTask	13	female	24	LASelfMixed	2	1676	List6	won	$2.00	$2.00	-$1.75	$0.00	NULL	NULL	Mean Response.RT	1676.00
2	Self3	SelfTask	14	female	24	LASelfMixed	2	482	List6	lost	-$11.25	$10.00	-$11.25	$0.00	NULL	NULL	Mean Response.RT	482.00
2	Self3	SelfTask	15	female	24	LASelfGain	1	695	List6	lost	$0.00	$5.00	$0.00	$3.00	NULL	NULL	Mean Response.RT	695.00
